country,date,cases,deaths,recovered
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45
USA,2023-01-01,1000,10,800
India,2023-01-01,1200,15,1000
Brazil,2023-01-01,800,8,600
UK,2023-01-01,500,5,400
France,2023-01-01,300,3,250
Germany,2023-01-01,400,4,350
Italy,2023-01-01,200,2,180
Spain,2023-01-01,150,1,130
Canada,2023-01-01,100,1,90
Australia,2023-01-01,50,0,45

