location,date,temperature,air_quality_index,biodiversity_index,carbon_footprint
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
City A,2023-01-01,25,75,80,15
City B,2023-01-01,20,60,90,12
City C,2023-01-01,30,80,75,20
City D,2023-01-01,18,50,85,10
City E,2023-01-01,22,65,88,14
City F,2023-01-01,28,70,78,18
City G,2023-01-01,26,78,82,16
City H,2023-01-01,23,68,79,17
City I,2023-01-01,21,55,92,13
City J,2023-01-01,27,72,86,19
